jda:block/1	x=320	y=768	w=32	h=32
minecraft:block/cyan_glazed_terracotta	x=256	y=880	w=16	h=16
minecraft:block/cyan_shulker_box	x=272	y=880	w=16	h=16
minecraft:block/cyan_stained_glass	x=288	y=880	w=16	h=16
minecraft:block/cyan_stained_glass_pane_top	x=304	y=880	w=16	h=16
minecraft:block/cyan_terracotta	x=320	y=880	w=16	h=16
minecraft:block/cyan_wool	x=336	y=880	w=16	h=16
minecraft:block/damaged_anvil_top	x=352	y=880	w=16	h=16
minecraft:block/dandelion	x=368	y=880	w=16	h=16
minecraft:block/dark_oak_door_bottom	x=384	y=880	w=16	h=16
minecraft:block/dark_oak_door_top	x=400	y=880	w=16	h=16
minecraft:block/dark_oak_leaves	x=416	y=880	w=16	h=16
minecraft:block/dark_oak_log	x=432	y=880	w=16	h=16
minecraft:block/dark_oak_log_top	x=448	y=880	w=16	h=16
minecraft:block/dark_oak_planks	x=464	y=880	w=16	h=16
minecraft:block/dark_oak_sapling	x=480	y=880	w=16	h=16
minecraft:block/dark_oak_trapdoor	x=496	y=880	w=16	h=16
minecraft:block/dark_prismarine	x=512	y=880	w=16	h=16
minecraft:block/daylight_detector_inverted_top	x=528	y=880	w=16	h=16
minecraft:block/daylight_detector_side	x=544	y=880	w=16	h=16
minecraft:block/daylight_detector_top	x=560	y=880	w=16	h=16
minecraft:block/dead_brain_coral	x=576	y=880	w=16	h=16
minecraft:block/dead_brain_coral_block	x=592	y=880	w=16	h=16
minecraft:block/dead_brain_coral_fan	x=608	y=880	w=16	h=16
minecraft:block/dead_bubble_coral	x=624	y=880	w=16	h=16
minecraft:block/dead_bubble_coral_block	x=640	y=880	w=16	h=16
minecraft:block/dead_bubble_coral_fan	x=656	y=880	w=16	h=16
minecraft:block/dead_bush	x=672	y=880	w=16	h=16
minecraft:block/dead_fire_coral	x=688	y=880	w=16	h=16
minecraft:block/dead_fire_coral_block	x=704	y=880	w=16	h=16
minecraft:block/dead_fire_coral_fan	x=720	y=880	w=16	h=16
minecraft:block/dead_horn_coral	x=736	y=880	w=16	h=16
minecraft:block/dead_horn_coral_block	x=752	y=880	w=16	h=16
minecraft:block/dead_horn_coral_fan	x=0	y=896	w=16	h=16
minecraft:block/dead_tube_coral	x=16	y=896	w=16	h=16
minecraft:block/dead_tube_coral_block	x=32	y=896	w=16	h=16
minecraft:block/dead_tube_coral_fan	x=48	y=896	w=16	h=16
minecraft:block/debug	x=64	y=896	w=16	h=16
minecraft:block/debug2	x=80	y=896	w=16	h=16
minecraft:block/deepslate	x=96	y=896	w=16	h=16
minecraft:block/deepslate_bricks	x=112	y=896	w=16	h=16
minecraft:block/deepslate_coal_ore	x=128	y=896	w=16	h=16
minecraft:block/deepslate_copper_ore	x=144	y=896	w=16	h=16
minecraft:block/deepslate_diamond_ore	x=160	y=896	w=16	h=16
minecraft:block/deepslate_emerald_ore	x=176	y=896	w=16	h=16
minecraft:block/deepslate_gold_ore	x=192	y=896	w=16	h=16
minecraft:block/deepslate_iron_ore	x=208	y=896	w=16	h=16
minecraft:block/deepslate_lapis_ore	x=224	y=896	w=16	h=16
minecraft:block/deepslate_redstone_ore	x=240	y=896	w=16	h=16
minecraft:block/deepslate_tiles	x=256	y=896	w=16	h=16
minecraft:block/deepslate_top	x=272	y=896	w=16	h=16
minecraft:block/destroy_stage_0	x=288	y=896	w=16	h=16
minecraft:block/destroy_stage_1	x=304	y=896	w=16	h=16
minecraft:block/destroy_stage_2	x=320	y=896	w=16	h=16
minecraft:block/destroy_stage_3	x=336	y=896	w=16	h=16
minecraft:block/destroy_stage_4	x=352	y=896	w=16	h=16
minecraft:block/destroy_stage_5	x=368	y=896	w=16	h=16
minecraft:block/destroy_stage_6	x=384	y=896	w=16	h=16
minecraft:block/destroy_stage_7	x=400	y=896	w=16	h=16
minecraft:block/destroy_stage_8	x=416	y=896	w=16	h=16
minecraft:block/destroy_stage_9	x=432	y=896	w=16	h=16
minecraft:block/detector_rail	x=448	y=896	w=16	h=16
minecraft:block/detector_rail_on	x=464	y=896	w=16	h=16
minecraft:block/diamond_block	x=480	y=896	w=16	h=16
minecraft:block/diamond_ore	x=496	y=896	w=16	h=16
minecraft:block/diorite	x=512	y=896	w=16	h=16
minecraft:block/dirt	x=528	y=896	w=16	h=16
minecraft:block/dirt_path_side	x=544	y=896	w=16	h=16
minecraft:block/dirt_path_top	x=560	y=896	w=16	h=16
minecraft:block/dispenser_front	x=576	y=896	w=16	h=16
minecraft:block/dispenser_front_vertical	x=592	y=896	w=16	h=16
minecraft:block/dragon_egg	x=608	y=896	w=16	h=16
minecraft:block/dried_kelp_bottom	x=624	y=896	w=16	h=16
minecraft:block/dried_kelp_side	x=640	y=896	w=16	h=16
minecraft:block/dried_kelp_top	x=656	y=896	w=16	h=16
minecraft:block/dripstone_block	x=672	y=896	w=16	h=16
minecraft:block/dropper_front	x=688	y=896	w=16	h=16
minecraft:block/dropper_front_vertical	x=704	y=896	w=16	h=16
minecraft:block/emerald_block	x=720	y=896	w=16	h=16
minecraft:block/emerald_ore	x=736	y=896	w=16	h=16
minecraft:block/enchanting_table_bottom	x=752	y=896	w=16	h=16
minecraft:block/enchanting_table_side	x=0	y=912	w=16	h=16
minecraft:block/enchanting_table_top	x=16	y=912	w=16	h=16
minecraft:block/end_portal_frame_eye	x=32	y=912	w=16	h=16
minecraft:block/end_portal_frame_side	x=48	y=912	w=16	h=16
minecraft:block/end_portal_frame_top	x=64	y=912	w=16	h=16
minecraft:block/end_rod	x=80	y=912	w=16	h=16
minecraft:block/end_stone	x=96	y=912	w=16	h=16
minecraft:block/end_stone_bricks	x=112	y=912	w=16	h=16
minecraft:block/exposed_chiseled_copper	x=128	y=912	w=16	h=16
minecraft:block/exposed_copper	x=144	y=912	w=16	h=16
minecraft:block/exposed_copper_bulb	x=160	y=912	w=16	h=16
minecraft:block/exposed_copper_bulb_lit	x=176	y=912	w=16	h=16
minecraft:block/exposed_copper_bulb_lit_powered	x=192	y=912	w=16	h=16
minecraft:block/exposed_copper_bulb_powered	x=208	y=912	w=16	h=16
minecraft:block/exposed_copper_door_bottom	x=224	y=912	w=16	h=16
minecraft:block/exposed_copper_door_top	x=240	y=912	w=16	h=16
minecraft:block/exposed_copper_grate	x=256	y=912	w=16	h=16
minecraft:block/exposed_copper_trapdoor	x=272	y=912	w=16	h=16
minecraft:block/exposed_cut_copper	x=288	y=912	w=16	h=16
minecraft:block/farmland	x=304	y=912	w=16	h=16
minecraft:block/farmland_moist	x=320	y=912	w=16	h=16
minecraft:block/fern	x=336	y=912	w=16	h=16
minecraft:block/fire_0	x=352	y=912	w=16	h=16
minecraft:block/fire_1	x=368	y=912	w=16	h=16
minecraft:block/fire_coral	x=384	y=912	w=16	h=16
minecraft:block/fire_coral_block	x=400	y=912	w=16	h=16
minecraft:block/fire_coral_fan	x=416	y=912	w=16	h=16
minecraft:block/fletching_table_front	x=432	y=912	w=16	h=16
minecraft:block/fletching_table_side	x=448	y=912	w=16	h=16
minecraft:block/fletching_table_top	x=464	y=912	w=16	h=16
minecraft:block/flower_pot	x=480	y=912	w=16	h=16
minecraft:block/flowering_azalea_leaves	x=496	y=912	w=16	h=16
minecraft:block/flowering_azalea_side	x=512	y=912	w=16	h=16
minecraft:block/flowering_azalea_top	x=528	y=912	w=16	h=16
minecraft:block/frogspawn	x=544	y=912	w=16	h=16
minecraft:block/frosted_ice_0	x=560	y=912	w=16	h=16
minecraft:block/frosted_ice_1	x=576	y=912	w=16	h=16
minecraft:block/frosted_ice_2	x=592	y=912	w=16	h=16
minecraft:block/frosted_ice_3	x=608	y=912	w=16	h=16
minecraft:block/furnace_front	x=624	y=912	w=16	h=16
minecraft:block/furnace_front_on	x=640	y=912	w=16	h=16
minecraft:block/furnace_side	x=656	y=912	w=16	h=16
minecraft:block/furnace_top	x=672	y=912	w=16	h=16
minecraft:block/gilded_blackstone	x=688	y=912	w=16	h=16
minecraft:block/glass	x=704	y=912	w=16	h=16
minecraft:block/glass_pane_top	x=720	y=912	w=16	h=16
minecraft:block/glow_item_frame	x=736	y=912	w=16	h=16
minecraft:block/glow_lichen	x=752	y=912	w=16	h=16
minecraft:block/glowstone	x=0	y=928	w=16	h=16
minecraft:block/gold_block	x=16	y=928	w=16	h=16
minecraft:block/gold_ore	x=32	y=928	w=16	h=16
minecraft:block/granite	x=48	y=928	w=16	h=16
minecraft:block/grass_block_side	x=64	y=928	w=16	h=16
minecraft:block/grass_block_side_overlay	x=80	y=928	w=16	h=16
minecraft:block/grass_block_snow	x=96	y=928	w=16	h=16
minecraft:block/grass_block_top	x=112	y=928	w=16	h=16
minecraft:block/gravel	x=128	y=928	w=16	h=16
minecraft:block/gray_candle	x=144	y=928	w=16	h=16
minecraft:block/gray_candle_lit	x=160	y=928	w=16	h=16
minecraft:block/gray_concrete	x=176	y=928	w=16	h=16
minecraft:block/gray_concrete_powder	x=192	y=928	w=16	h=16
minecraft:block/gray_glazed_terracotta	x=208	y=928	w=16	h=16
minecraft:block/gray_shulker_box	x=224	y=928	w=16	h=16
minecraft:block/gray_stained_glass	x=240	y=928	w=16	h=16
minecraft:block/gray_stained_glass_pane_top	x=256	y=928	w=16	h=16
minecraft:block/gray_terracotta	x=272	y=928	w=16	h=16
minecraft:block/gray_wool	x=288	y=928	w=16	h=16
minecraft:block/green_candle	x=304	y=928	w=16	h=16
minecraft:block/green_candle_lit	x=320	y=928	w=16	h=16
minecraft:block/green_concrete	x=336	y=928	w=16	h=16
minecraft:block/green_concrete_powder	x=352	y=928	w=16	h=16
minecraft:block/green_glazed_terracotta	x=368	y=928	w=16	h=16
minecraft:block/green_shulker_box	x=384	y=928	w=16	h=16
minecraft:block/green_stained_glass	x=400	y=928	w=16	h=16
minecraft:block/green_stained_glass_pane_top	x=416	y=928	w=16	h=16
minecraft:block/green_terracotta	x=432	y=928	w=16	h=16
minecraft:block/green_wool	x=448	y=928	w=16	h=16
minecraft:block/grindstone_pivot	x=464	y=928	w=16	h=16
minecraft:block/grindstone_round	x=480	y=928	w=16	h=16
minecraft:block/grindstone_side	x=496	y=928	w=16	h=16
minecraft:block/hanging_roots	x=512	y=928	w=16	h=16
minecraft:block/hay_block_side	x=528	y=928	w=16	h=16
minecraft:block/hay_block_top	x=544	y=928	w=16	h=16
minecraft:block/heavy_core	x=560	y=928	w=16	h=16
minecraft:block/honey_block_bottom	x=576	y=928	w=16	h=16
minecraft:block/honey_block_side	x=592	y=928	w=16	h=16
minecraft:block/honey_block_top	x=608	y=928	w=16	h=16
minecraft:block/honeycomb_block	x=624	y=928	w=16	h=16
minecraft:block/hopper_inside	x=640	y=928	w=16	h=16
minecraft:block/hopper_outside	x=656	y=928	w=16	h=16
minecraft:block/hopper_top	x=672	y=928	w=16	h=16
